player,display_name,photo,flag,club_logo,club,theme_color
RICHARD Pascal,RICHARD Pascal,assets/players/richard-pascal.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RIDEAU Laëtitia,RIDEAU Laëtitia,assets/players/rideau-laetitia.png,assets/flags/fr.png,assets/clubs/la-roche-sur-yon.png,La Roche-sur-Yon,#0F766E
RIGAUX Anne-Marie,RIGAUX Anne-Marie,assets/players/rigaux-anne-marie.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RINQUIN Annick,RINQUIN Annick,assets/players/rinquin-annick.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RIOS Jean-Jacques,RIOS Jean-Jacques,assets/players/rios-jean-jacques.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RISSE Myriam,RISSE Myriam,assets/players/risse-myriam.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ROBETTE Alexandre,ROBETTE Alexandre,assets/players/robette-alexandre.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ROBIN Fabrice,ROBIN Fabrice,assets/players/robin-fabrice.png,assets/flags/fr.png,assets/clubs/gleize.png,Gleizé,#1D4ED8
ROCCHIA Philippe,ROCCHIA Philippe,assets/players/rocchia-philippe.png,assets/flags/fr.png,assets/clubs/marseille.png,Marseille,#DB2777
ROCHER Janine,ROCHER Janine,assets/players/rocher-janine.png,assets/flags/fr.png,assets/clubs/ambert.png,Ambert,#1D4ED8
RODI Mathilda,RODI Mathilda,assets/players/rodi-mathilda.png,assets/flags/fr.png,assets/clubs/fontenay-sous-bois.png,Fontenay-sous-Bois,#111827
RODRIGUES Marvin,RODRIGUES Marvin,assets/players/rodrigues-marvin.png,assets/flags/fr.png,assets/clubs/default.png,,#EA580C
ROLAND Patrice,ROLAND Patrice,assets/players/roland-patrice.png,assets/flags/fr.png,assets/clubs/default.png,,#DC2626
ROSIÈRES Nadine,ROSIÈRES Nadine,assets/players/rosieres-nadine.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ROSZAK Nicolas,ROSZAK Nicolas,assets/players/roszak-nicolas.png,assets/flags/fr.png,assets/clubs/default.png,,#DC2626
ROUDIL Arlette,ROUDIL Arlette,assets/players/roudil-arlette.png,assets/flags/fr.png,assets/clubs/saint-flour.png,Saint-Flour,#1D4ED8
ROUMÉAS Goulven,ROUMÉAS Goulven,assets/players/roumeas-goulven.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ROUSSEAU Marie-Thérèse,ROUSSEAU Marie-Thérèse,assets/players/rousseau-marie-therese.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ROUSSEL Pascal,ROUSSEL Pascal,assets/players/roussel-pascal.png,assets/flags/fr.png,assets/clubs/dijon.png,Dijon,#7C3AED
ROUSSELLE Bruno,ROUSSELLE Bruno,assets/players/rousselle-bruno.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ROUX Josette,ROUX Josette,assets/players/roux-josette.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
